ID do Documento;Título Original do Artigo;Autores;Ano de Publicação;Periódico/Conferência;URL/Link para o Artigo (SCOPUS/DOI);String de Busca SCOPUS Utilizada;Caminho do Arquivo de Texto Extraído (.txt);Resumo Gerado pela IA (Gemini);Categorias Atribuídas pela IA (Gemini);Relevância Manual (S/N/Parcial);Notas/Comentários Manuais;Palavras-chave do Autor;Abstract Original;Status de Leitura;Prioridade;PDF Disponível?
Decolonising-the-Earth;Decolonising the Earth: Anticolonial Environmentalism and the Soil of Empire;"Davidson, Joe P. L.; Carreira da Silva, Filipe";2024;Theory, Culture and Society;https://doi.org/10.1177/02632764241242380;snowballing Toward-relational-materiality;c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Decolonising-the-Earth.txt;"ERRO: 429 Quota exceeded for quota metric 'Generate Content API requests per minute' and limit 'GenerateContent request limit per minute for a region' of service 'generativelanguage.googleapis.com' for consumer 'project_number:736928802601'. [reason: ""RATE_LIMIT_EXCEEDED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""quota_unit""
  value: ""1/min/{project}/{region}""
}
metadata {
  key: ""quota_metric""
  value: ""generativelanguage.googleapis.com/generate_content_requests""
}
metadata {
  key: ""quota_location""
  value: ""us-south1""
}
metadata {
  key: ""quota_limit""
  value: ""GenerateContentRequestsPerMinutePerProjectPerRegion""
}
metadata {
  key: ""quota_limit_value""
  value: ""0""
}
metadata {
  key: ""consumer""
  value: ""projects/736928802601""
}
, links {
  description: ""Request a higher quota limit.""
  url: ""https://cloud.google.com/docs/quotas/help/request_increase""
}
]";;;;;The relationship between humanity and the soil is an increasingly important topic in social theory. However, conceptualisations of the soil developed by anticolonial thinkers at the high point of the movement for self-determination between the 1940s and the 1970s have remained largely ignored. This is a shame, not least because theorists like Eric Williams, Walter Rodney, Suzanne Césaire and Amílcar Cabral were concerned with the soil. Building on recent work on human-soil relations and decolonial ecology, we argue that these four thinkers conceptualised the connection between soil, empire, and anticolonial revolt. Williams and Rodney ground understanding of soil degradation in global relations of economic power, while Césaire and Cabral reconceptualise postcolonial nationhood in terms of the mutability and diversity of the soil. The article concludes by suggesting that these two anticolonial counterpoints, global connectivity and more-than-human identification, anticipate and deepen contemporary attempts to decolonise ecological thinking. © The Author(s) 2024.;;;Sim
Environmental-Harms-and-Entangled;Environmental Harms and Entangled Lifeworlds in the Russia-Ukraine War: A Relational Reframing of Transitional Justice;Clark, Janine Natalya;2025;Journal of Intervention and Statebuilding;https://doi.org/10.1080/17502977.2025.2533716;snowballing Toward-relational-materiality;c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Environmental-Harms-and-Entangled.txt;"ERRO: 429 Quota exceeded for quota metric 'Generate Content API requests per minute' and limit 'GenerateContent request limit per minute for a region' of service 'generativelanguage.googleapis.com' for consumer 'project_number:736928802601'. [reason: ""RATE_LIMIT_EXCEEDED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""quota_unit""
  value: ""1/min/{project}/{region}""
}
metadata {
  key: ""quota_metric""
  value: ""generativelanguage.googleapis.com/generate_content_requests""
}
metadata {
  key: ""quota_location""
  value: ""us-south1""
}
metadata {
  key: ""quota_limit""
  value: ""GenerateContentRequestsPerMinutePerProjectPerRegion""
}
metadata {
  key: ""quota_limit_value""
  value: ""0""
}
metadata {
  key: ""consumer""
  value: ""projects/736928802601""
}
, links {
  description: ""Request a higher quota limit.""
  url: ""https://cloud.google.com/docs/quotas/help/request_increase""
}
]";;;;;This interdisciplinary article adopts a novel approach to thinking about the environmental impacts of the Russia-Ukraine war - and of war/armed conflict more broadly. First, it unpacks, drawing on original empirical data, how these impacts make salient the interconnectedness of human and more-than-human worlds, which it explores with reference to the concept of solastalgia. Second, the article situates its analysis of the war's environmental impacts directly in relation to transitional justice. Calling for a relational reframing of the field that gives expression to multiply entangled lifeworlds, it reflects on what this reframing might look like and emphasises two key ideas - care and listening. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.;;;Sim
What-Was-Soil-Antiquity;What Was Soil in Antiquity? A View from Ritual;Blidstein, Moshe;2025;Worldviews: Environment, Culture, Religion;https://doi.org/10.1163/15685357-02902004;snowballing Toward-relational-materiality;;;;;;;This article examines the ritual uses and cultural meanings of soil in the ancient Mediterranean (c. 8th century BCE-6th century CE). It analyzes rituals involving the physical manipulation of soil across Greek, Roman, Jewish, and early Christian traditions. Through a thematic examination of practices such as burial, mourning, purification, healing, and symbolic transfer, the article identifies two primary, often overlapping, symbolic dimensions: soil signifying lowliness, humility, dirt, and purification (often 'placeless' soil), and soil representing specific, potent locations such as homeland, sacred sites, or burial grounds ('placed' soil). Significantly, rituals manipulating soil rarely centered directly on agricultural fertility, diverging from interpretations focused solely on earth goddesses. This provides some insights for contemporary relationships with soils. © Moshe Blidstein, 2025.;;;
Creating-alternative-future-trajectories;Creating alternative future trajectories for carbon farming through a relational lens: pathways towards transformative social-ecological change in the European Union;"Barrineau, Susanna; Do, Thao; Powell, Neil";2025;Ecosystems and People;https://doi.org/10.1080/26395916.2025.2461535;snowballing Toward-relational-materiality;c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Creating-alternative-future-trajectories.txt;"ERRO: 429 Quota exceeded for quota metric 'Generate Content API requests per minute' and limit 'GenerateContent request limit per minute for a region' of service 'generativelanguage.googleapis.com' for consumer 'project_number:736928802601'. [reason: ""RATE_LIMIT_EXCEEDED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""quota_unit""
  value: ""1/min/{project}/{region}""
}
metadata {
  key: ""quota_metric""
  value: ""generativelanguage.googleapis.com/generate_content_requests""
}
metadata {
  key: ""quota_location""
  value: ""us-south1""
}
metadata {
  key: ""quota_limit""
  value: ""GenerateContentRequestsPerMinutePerProjectPerRegion""
}
metadata {
  key: ""quota_limit_value""
  value: ""0""
}
metadata {
  key: ""consumer""
  value: ""projects/736928802601""
}
, links {
  description: ""Request a higher quota limit.""
  url: ""https://cloud.google.com/docs/quotas/help/request_increase""
}
]";;;;"Sweden; carbon; ecological impact; European Union; farming system; social change; stakeholder; sustainability";This paper investigates how futures thinking and relational thinking may expand practices and strategies in agriculture that aim for sustainability. Using carbon farming as a case where relational thinking is brought into conversation with futures thinking, we explore how imaginaries of sustainability transformations can be further expanded to include ways of knowing, being, and doing that imagine more radical, relational, and ethical futures. Based on the analysis of a diverse empirical material including European Union reports, focus group discussions, and workshops with carbon farming stakeholders in Sweden using the futures method Causal Layered Analysis, this paper offers a critical relational lens for approaching and evaluating strategies and practices that aim for sustainability transformations in agricultural systems. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.;;;Sim
Amphibious-Land-Repair;Amphibious Land Repair Restoration, Infrastructure and Accumulation in Southeast Asia’s Wetlands;"Law, Tamar; Goldstein, Jenny";2024;Environment and Society: Advances in Research;https://doi.org/10.3167/ares.2024.150106;snowballing Toward-relational-materiality;c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Amphibious-Land-Repair.txt;"ERRO: 429 Quota exceeded for quota metric 'Generate Content API requests per minute' and limit 'GenerateContent request limit per minute for a region' of service 'generativelanguage.googleapis.com' for consumer 'project_number:736928802601'. [reason: ""RATE_LIMIT_EXCEEDED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""quota_unit""
  value: ""1/min/{project}/{region}""
}
metadata {
  key: ""quota_metric""
  value: ""generativelanguage.googleapis.com/generate_content_requests""
}
metadata {
  key: ""quota_location""
  value: ""us-south1""
}
metadata {
  key: ""quota_limit""
  value: ""GenerateContentRequestsPerMinutePerProjectPerRegion""
}
metadata {
  key: ""quota_limit_value""
  value: ""0""
}
metadata {
  key: ""consumer""
  value: ""projects/736928802601""
}
, links {
  description: ""Request a higher quota limit.""
  url: ""https://cloud.google.com/docs/quotas/help/request_increase""
}
]";;;;;Amphibious landscapes, wetlands such as coasts, mangroves, peatlands, and deltas, have seen a recent surge in large-scale restoration efforts. This article examines this trend in Southeast Asia, reviewing the history and contemporary dynamics of wetland restoration in the region. Drawing from literatures on the political ecology of restoration, infrastructure studies, and the financialization of nature, we understand wetland restoration as a form of repair to highlight it as a socio-political process. We conceptualize restoration as infrastructurallandrepair, the process of restoring dynamic ecosystems for specific anthropocentric and economic aims, mediated through an amalgam of expertise, technology, and finance. We reveal how restoration can function as a socio-ecological fix, maintaining the same political-economic systems that initially caused wetland degradation. Finally, we identify a need for three areas of scholarship to be expanded on how restoration unfolds in practice within the SEA context, which will be crucial to informing more reparative forms of restoration. © The Author(s);;;Sim
Waste-Frontiers-War-Enclosures;Waste Frontiers/War Enclosures: Decolonial Geosocial Analysis of Contaminated Military Land Conversions;Krupar, Shiloh;2024;Annals of the American Association of Geographers;https://doi.org/10.1080/24694452.2024.2313501;snowballing Toward-relational-materiality;;;;;;"United States; biodiversity; contaminated land; military land; war; waste";Military-industrial practices have left widespread contamination affecting land, water, air, and human and nonhuman bodies. This article uses decolonial analysis to examine the racial-colonial foundations that underlie contemporary efforts to reuse former U.S. military land for development projects. Interrelating scholarship on security and development with that of militarization and political ecology, I use “geosocial spectacle” to probe the material and pedagogical governance, frontier logics, and colonial aesthetics that emerge through land remediation and redevelopment. Featuring two military sites within U.S. base closure and realignment—the U.S. Front Range area of Colorado and former U.S. unincorporated territory of the Panama Canal Zone—the article delineates and expounds on two types of U.S. military land conversions: brownfields and biodiversity recreation. The article interrelates the conversion of contaminated land in both cases as waste frontier that facilitates ongoing cycles of land repossession as a form of dispossession and containment or denial of war. The article concludes by advocating for decolonial studies of the global color line entrenched by the U.S. Pentagon’s ongoing climate colonialism, to subvert the compartmentalized harms of war and capitalist extraction, and to galvanize explicitly anticolonial, antiracist land reuse and governance. © 2024 by American Association of Geographers.;;;
Making-soil-in-the-Plantationocene;Making soil in the Plantationocene;Ofstehage, Andrew;2024;Journal of Peasant Studies;https://doi.org/10.1080/03066150.2023.2266705;snowballing Toward-relational-materiality;;;;;;"Bahia; Brazil; United States; agricultural research; cerrado; ethnography; farmers attitude; monoculture; peasant agriculture; permeability; plantation; soil management; soil property";Based on 14 months of ethnographic research, this paper analyzes soil management within the plantation model of farmingin order to understand the extent to which life on large-scale monocultural farms can be controlled and directed toward extractiveproduction. Transnational soy farmers in Western Bahia Brazil ‘correct’ soils in the region to make them productive and marshal thisagronomic work to claim that they have added value to the land by ‘building it up’. Still, the permeability of the plantation keepstransnational farmers from achieving their dreams of control. © 2023 Informa UK Limited, trading as Taylor & Francis Group.;;;
Against-wastelanding;Against wastelanding: distributed design at the pace of soil in the Conca de Barberà;Harris, Luke;2024;Landscape Research;https://doi.org/10.1080/01426397.2024.2371890;snowballing Toward-relational-materiality;c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Against-wastelanding.txt;"ERRO: 429 Quota exceeded for quota metric 'Generate Content API requests per minute' and limit 'GenerateContent request limit per minute for a region' of service 'generativelanguage.googleapis.com' for consumer 'project_number:736928802601'. [reason: ""RATE_LIMIT_EXCEEDED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""quota_unit""
  value: ""1/min/{project}/{region}""
}
metadata {
  key: ""quota_metric""
  value: ""generativelanguage.googleapis.com/generate_content_requests""
}
metadata {
  key: ""quota_location""
  value: ""us-south1""
}
metadata {
  key: ""quota_limit""
  value: ""GenerateContentRequestsPerMinutePerProjectPerRegion""
}
metadata {
  key: ""quota_limit_value""
  value: ""0""
}
metadata {
  key: ""consumer""
  value: ""projects/736928802601""
}
, links {
  description: ""Request a higher quota limit.""
  url: ""https://cloud.google.com/docs/quotas/help/request_increase""
}
]";;;;;This paper proposes a methodology for designers to work in the extensive yet marginal landscapes that are produced as part of the process of agricultural intensification. The distributed design approach, which focuses on enriching the existing bioinfrastructure of the soil, emerged out an ongoing research project in the Conca de Barberà, Spain. The project involves managing an interconnected series of currently unproductive on unmaintained fields through the rotational grazing of horses, with the hypothesis that the systematic grazing regime will catalyse soil biological activity. By attending to the soil infrastructure, the project necessarily developed a unique design approach. Management decisions became design problems and design work took on something of the call and response of management. Though it was shaped by the specific constraints and opportunities of the research project, the methodology is applicable to a wide variety of design projects in extensive landscapes with limited resources. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.;;;Sim
Who-Knows-What-Microbe-is;Who Knows What a Microbe is? The Variable Texture of Microbial Identity in Agricultural Products, Regulations, and Fields;"Turner, Marie F.; Szymanski, Erika A.";2024;Science and Technology Studies;https://doi.org/10.23987/sts.129544;snowballing Toward-relational-materiality;c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Who-Knows-What-Microbe-is.txt;"ERRO: 429 Quota exceeded for quota metric 'Generate Content API requests per minute' and limit 'GenerateContent request limit per minute for a region' of service 'generativelanguage.googleapis.com' for consumer 'project_number:736928802601'. [reason: ""RATE_LIMIT_EXCEEDED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""quota_unit""
  value: ""1/min/{project}/{region}""
}
metadata {
  key: ""quota_metric""
  value: ""generativelanguage.googleapis.com/generate_content_requests""
}
metadata {
  key: ""quota_location""
  value: ""us-south1""
}
metadata {
  key: ""quota_limit""
  value: ""GenerateContentRequestsPerMinutePerProjectPerRegion""
}
metadata {
  key: ""quota_limit_value""
  value: ""0""
}
metadata {
  key: ""consumer""
  value: ""projects/736928802601""
}
, links {
  description: ""Request a higher quota limit.""
  url: ""https://cloud.google.com/docs/quotas/help/request_increase""
}
]";;;;;Microbial products are becoming common alternatives for pesticides and fertilizers in light of the unsustainability of chemical products. What the microbes in these products are, though—that is, how they are enacted—varies across regulatory, research and development, and growing spaces, and that variation matters to how they are regulated. From document analyses, interviews, and ethnographic work with scientists, growers, and policy actors, we find that these microbes are epistemically uneven, sometimes with pinned-down identities, and sometimes with loosely woven textures with holes. Amid calls to tailor regulations specifically for these products, we suggest that regulations predicated on discrete identities and predictable and controllable functions will fail to account for all users’ experiences, and that regulation may need to learn to live with the lacy texture of microbes across contexts. © 2024 Finnish Society for Science and Technology Studies. All rights reserved.;;;Sim
Agroecological-transitions;Agroecological transitions: reading, writing, and thinking across disciplinary divides;Cusworth, George;2024;Frontiers in Agronomy;https://doi.org/10.3389/fagro.2024.1281393;snowballing Toward-relational-materiality;c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Agroecological-transitions.txt;"ERRO: 429 Quota exceeded for quota metric 'Generate Content API requests per minute' and limit 'GenerateContent request limit per minute for a region' of service 'generativelanguage.googleapis.com' for consumer 'project_number:736928802601'. [reason: ""RATE_LIMIT_EXCEEDED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""quota_unit""
  value: ""1/min/{project}/{region}""
}
metadata {
  key: ""quota_metric""
  value: ""generativelanguage.googleapis.com/generate_content_requests""
}
metadata {
  key: ""quota_location""
  value: ""us-south1""
}
metadata {
  key: ""quota_limit""
  value: ""GenerateContentRequestsPerMinutePerProjectPerRegion""
}
metadata {
  key: ""quota_limit_value""
  value: ""0""
}
metadata {
  key: ""consumer""
  value: ""projects/736928802601""
}
, links {
  description: ""Request a higher quota limit.""
  url: ""https://cloud.google.com/docs/quotas/help/request_increase""
}
]";;;;;There is great diversity in the methods, terms, and empirical focuses employed by social and natural scientists working on agroecological transitions. The upshot is that whilst various researchers may nominally be putting their shoulder to the same agroecological wheel, the impact of their combined efforts is not what it might be. The aim of this article is to assist in the co-ordination and collaboration of disparate research activities and actors. It does so by offering the readers of this journal a user-friendly guide to some of the terms being used by social scientists (particularly human geographers and anthropologists) in their work on pests, diseases, crop protections and agroecological transitions. Such a document is of particular use as the terms and concepts employed by social scientists are equipped to generate analysis with explicit political insight in a way that those used by natural scientists may not be. The concepts and theories of social scientists foreground the commonalities that cut across case studies which might otherwise seem separated by a reservoir of context specificity. Tooled with these terms of analysis, the promise of agroecology rightly becomes something with far reaching political and justice consequences. These terms are presented across five areas: the ontological, the epistemological, the methodological, the historical, and the aesthetic. Given the range of social, ecological, cultural, and economic barriers involved in effecting an agroecological transition, it is vital that different researchers are conversant in each other’s language. Copyright © 2024 Cusworth.;;;Sim
Governing-pathological-markets;Governing pathological markets: Microbes, banana export markets, and speculative farming practices;"Wang, Chi-Mao; Chien, Ker-Hsuan";2024;Environment and Planning E: Nature and Space;https://doi.org/10.1177/25148486231199334;snowballing Toward-relational-materiality;c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Governing-pathological-markets.txt;"ERRO: 429 Quota exceeded for quota metric 'Generate Content API requests per minute' and limit 'GenerateContent request limit per minute for a region' of service 'generativelanguage.googleapis.com' for consumer 'project_number:736928802601'. [reason: ""RATE_LIMIT_EXCEEDED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""quota_unit""
  value: ""1/min/{project}/{region}""
}
metadata {
  key: ""quota_metric""
  value: ""generativelanguage.googleapis.com/generate_content_requests""
}
metadata {
  key: ""quota_location""
  value: ""us-south1""
}
metadata {
  key: ""quota_limit""
  value: ""GenerateContentRequestsPerMinutePerProjectPerRegion""
}
metadata {
  key: ""quota_limit_value""
  value: ""0""
}
metadata {
  key: ""consumer""
  value: ""projects/736928802601""
}
, links {
  description: ""Request a higher quota limit.""
  url: ""https://cloud.google.com/docs/quotas/help/request_increase""
}
]";;;;;This paper examines the making and remaking of Taiwan's banana export market in response to the devastation caused by an outbreak of a novel infectious plant disease, Fusarium wilt disease Tropical Race 4 (TR4, Fusarium oxysporum f. sp. Cubense). Taiwan was the world's fourth-largest exporter of bananas in the 1960s before the collapse of the market in the early 1970s. While scholars have drawn on actor-network theory-inspired performativity approach to understand the role of non-human actants in market-making, insufficient attention has been given to the distinct impacts of microbes on cases such as that of Taiwan's banana export market. Microbes’ creative and ever-evolving qualities constantly present challenges related to the control and containment of such non-human entities, for which no pre-existing or universally applicable solutions exist. Consequently, there is a lack of research that provides useful frameworks to understand such disease-plagued markets. To bridge this gap in the literature, we examine the remaking of Taiwan's banana export market in the aftermath of the TR4 crisis using a case study approach and develop the notion of pathological markets. Inspired by recent scholarship on biosecurity and related care practices, we outline two characteristics that shape pathological markets: (a) speculative and probiotic care practices and (b) the rescaling of market organisations. The results of the fieldwork conducted as part of the present study in laboratories, government offices and on banana farms lead us to contend that the growth and development of particular microbes in multispecies environments such as Taiwan's banana farms constantly pose significant challenges for market farming. Moreover, to co-exist with the threats posed by the growth and development of microbes such as those which cause Fusarium wilt disease TR4, growers in Taiwan's banana export market rely heavily on probiotic and speculative care practices. © The Author(s) 2023.;;;Sim
Soil-extractivism;Soil extractivism: Political ontology of soil erasure in the European Union's agricultural politics;Hokkanen, Saana;2024;Journal of Rural Studies;https://doi.org/10.1016/j.jrurstud.2024.103298;snowballing Toward-relational-materiality;c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Soil-extractivism.txt;"ERRO: 429 Quota exceeded for quota metric 'Generate Content API requests per minute' and limit 'GenerateContent request limit per minute for a region' of service 'generativelanguage.googleapis.com' for consumer 'project_number:736928802601'. [reason: ""RATE_LIMIT_EXCEEDED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""quota_unit""
  value: ""1/min/{project}/{region}""
}
metadata {
  key: ""quota_metric""
  value: ""generativelanguage.googleapis.com/generate_content_requests""
}
metadata {
  key: ""quota_location""
  value: ""us-south1""
}
metadata {
  key: ""quota_limit""
  value: ""GenerateContentRequestsPerMinutePerProjectPerRegion""
}
metadata {
  key: ""quota_limit_value""
  value: ""0""
}
metadata {
  key: ""consumer""
  value: ""projects/736928802601""
}
, links {
  description: ""Request a higher quota limit.""
  url: ""https://cloud.google.com/docs/quotas/help/request_increase""
}
]";;;;"Europe; agricultural production; biodiversity; Common Agricultural Policy; conceptual framework; European Union";This article examines how specific (non-relational) political ontological understandings of soils are incorporated into industrial agricultural politics in the European Union and introduces a complementary contribution to existing literature with the concept of soil extractivism. The concept is used to describe current institutionalized ways of relating to soils and their dynamics of power. Through an integrative literature review, the article links existing research on soils with the development of modern agriculture in Europe. The theoretical contribution of soil extractivism provides a conceptual tool for understanding currently dominant ways of treating soils as a key part of modernity and industrial capitalism as well as part of wider destructions of multispecies relations. © 2024 The Author;;;Sim
Reimagining-the-governance-water;Reimagining the governance of water from the ground up: On the ‘worlding-practices’ of grassroots movements building alternative ‘water worlds’;Tozzi, Arianna;2024;Environment and Planning E: Nature and Space;https://doi.org/10.1177/25148486231223627;snowballing Toward-relational-materiality;c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Reimagining-the-governance-water.txt;"ERRO: 429 Quota exceeded for quota metric 'Generate Content API requests per minute' and limit 'GenerateContent request limit per minute for a region' of service 'generativelanguage.googleapis.com' for consumer 'project_number:736928802601'. [reason: ""RATE_LIMIT_EXCEEDED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""quota_unit""
  value: ""1/min/{project}/{region}""
}
metadata {
  key: ""quota_metric""
  value: ""generativelanguage.googleapis.com/generate_content_requests""
}
metadata {
  key: ""quota_location""
  value: ""us-south1""
}
metadata {
  key: ""quota_limit""
  value: ""GenerateContentRequestsPerMinutePerProjectPerRegion""
}
metadata {
  key: ""quota_limit_value""
  value: ""0""
}
metadata {
  key: ""consumer""
  value: ""projects/736928802601""
}
, links {
  description: ""Request a higher quota limit.""
  url: ""https://cloud.google.com/docs/quotas/help/request_increase""
}
]";;;;;This paper speaks to the uneven scholarly attention gone into tracing dominant forms of water governance as opposed to practices crafting alternative human-water relations on the ground. Through the case of an Indian-based network mobilising to transform how we understand rainfed regions as rain-dependent socio-ecologies, I theorise their action ‘with care’, a commitment to think-with grassroots movements as actors capable of bringing new worlds into being. Describing their activities as worlding-practices, I explore how the network confronts the invisibilities inscribed by the current paradigm reducing water to irrigation by defining alternative metrological tools that recentre the governance of water from the perspective of the rainfall. Tinkering with the variables of the constituted metrology, the network utilises an atlas, a formula, and an acronym to enact a different rainfed sociality into being, creating visibilities and cares for neglected things. Through the story of a grassroots group and their strategies of mobilisation, this account contributes to debates on how to pluralise water governance, suggesting that reimagining its practices requires taking seriously the performativity of grassroots knowledges. Building alliances between research and activism as e/affective world-building partners becomes key to co-theorise liveable human-water relations and caring socio-ecologies at large. © The Author(s) 2024.;;;Sim
Revitalizin-Air;Revitalizing Air: More-than-Human Relations in Urban Health Beyond the Modern-Premodern Binary;"Meloni, Maurizio; Maller, Cecily";2024;Geohumanities;https://doi.org/10.1080/2373566X.2023.2280570;snowballing Toward-relational-materiality;;;;;;;"The cleanliness, mobility and quality of urban air has regained political legibility in debates on post-pandemic cities. To contextualize the political and epistemological significance of air in urban contexts, we suggest looking at the under-researched experience of premodern cities and bodies, how they developed a complex ecological imagination and solutions guided by findings from Hippocratic-Galenic medicine. While we do not romanticize these efforts, we argue that they represent an overlooked archive through which the post-Enlightenment mechanization, securitization and abstraction of air can be challenged. Turning to recent findings from both more-than-human thinking and microbiology as applied to air (aerobiome), we acknowledge that microbiome science is a result of laboratory science; however, we argue that findings from microbiome science point to a reanimation of air as something that cannot be fully instrumentalized or securitized as in modernistic programs of biopolitical control. By drawing on the on the experience of the Hippocratic tradition as a catalyst and a proxy for wider ontologies of flows and corporeal porosity across the Eurasian landmass, we suggest arriving at an affirmative reconceptualization of human-environment entanglement based on notions of permeability and a non-binary ontology of flows. This more-than-human approach may not only complicate the alleged simplistic view of the “West” as a dualistic monolith but act also as bridge and companion to Indigenous and Southern ontologies and experiences of life, non-life, matter and nature. © 2024 American Association of Geographers Published by Taylor & Francis Group, LLC.";;;
Ways-of-un-knowing-landscapes;Ways of (un)knowing landscapes: Tracing more-than-human relations in regenerative agriculture;"Kallio, Galina; LaFleur, Will";2023;Journal of Rural Studies;https://doi.org/10.1016/j.jrurstud.2023.103059;snowballing Toward-relational-materiality;c:\workspace\artigos\Ontologia de Solos\Pesquisa SCOPUS\Textos_Extraidos\Ways-of-un-knowing-landscapes.txt;"ERRO: 429 Quota exceeded for quota metric 'Generate Content API requests per minute' and limit 'GenerateContent request limit per minute for a region' of service 'generativelanguage.googleapis.com' for consumer 'project_number:736928802601'. [reason: ""RATE_LIMIT_EXCEEDED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""generativelanguage.googleapis.com""
}
metadata {
  key: ""quota_unit""
  value: ""1/min/{project}/{region}""
}
metadata {
  key: ""quota_metric""
  value: ""generativelanguage.googleapis.com/generate_content_requests""
}
metadata {
  key: ""quota_location""
  value: ""us-south1""
}
metadata {
  key: ""quota_limit""
  value: ""GenerateContentRequestsPerMinutePerProjectPerRegion""
}
metadata {
  key: ""quota_limit_value""
  value: ""0""
}
metadata {
  key: ""consumer""
  value: ""projects/736928802601""
}
, links {
  description: ""Request a higher quota limit.""
  url: ""https://cloud.google.com/docs/quotas/help/request_increase""
}
]";;;;"Finland; Italy; Norway; agricultural land; agriculture; empirical analysis; ethnography; landscape; rural landscape; soil carbon";In the face of diverse socio-ecological crises, regenerative agriculture promises to enliven rural landscapes by positioning farmers as key actors in mitigating the ‘carbon problem’ on the one hand, and adapting to it on the other. This article troubles ways of knowing regenerative agriculture through soil-and-carbon centered representational knowledge practices. Conceptually, we build on relational scholarship and use the concept of (un)knowing landscapes to suggest that agricultural landscapes both become, and become (un)known in and through diverse more-than-human relations. Empirically, we draw from ethnographic fieldwork independently conducted at farms in Finland, Norway and Italy practicing diversified regenerative agriculture. By focusing specifically on the practices of composting and processes of decomposition, we show how farmers come to know and reciprocate the aliveness of their landscapes through both proximate and distant relational dynamics: balancing between control and cohabitation, caring for and taking care of, and attending to multiple rhythms of (re)production. We argue that placing a deeper focus on soils — even when representing them differently — not only risks making proximate relations in diversified regenerative agricultural landscapes unknown, but also permits these landscapes to become known primarily through relations of distance. This, in turn, enables the commensurability of regenerative agricultural landscapes into tradable units for carbon markets. We conclude that transformation towards ecological livelihoods requires a radical reevaluation of, and accounting for, diverse more-than-human landscape relations. © 2023 The Authors;;;Sim
Multiple-worlds-and-strange-objects;Multiple worlds and strange objects: environmental education research as an additive practice;"Rautio, Pauliina; Hohti, Riikka; Tammi, Tuure; Ylirisku, Henrika";2022;Australian Journal of Environmental Education;https://doi.org/10.1017/aee.2022.29;snowballing Toward-relational-materiality;;;;;;;The paper offers three examples of passionate immersion with strange objects and working with peculiar multispecies assemblages, such as the assemblage of a dove called Romeo and the technology to humidify a greenhouse called 'Princess', or the experiment of orienteering in forests for years, accounting for slips, scratches and tumbles as being taught by the forest - and prioritising these over the more commonplace educational narratives. The paper is structured in a nonconventional way in that most space is reserved for reports from these ongoing inquiries. The authors will each discuss how they situate themselves in relation to strangeness in research and how they proceed methodologically, locating their approaches as postqualitative. The questions each example addresses are: What is a strange object? How do we come across them? What do we begin to do/produce with them? The additive orientation described in the research stories is proposed to be an important constituent for new survival knowledge especially relevant for environmental education, addressing environmental problems as wicked, and demanding approaches that reach beyond methodological divides.  © The Author(s), 2022. Published by Cambridge University Press.;;;
